Ref;Title;Description;Status;Comment
DEV-GV-100;Implement weighted sum of pattern;Implement a way to sum patterns for active antennae composite pattern rendering.;Val;Published in 1.4.0
DEV-GV-200;Use Cartopy instead of BASEMAP;Cartopy seems to be the rising star in term of cartography and display. Investigate possibility and effort to switch to cartopy if Basemap is abandonated. Also consider using only Pyproj and Matplotlib.;;
DEV-GV-300;Extend pattern;opposite function to shrink pattern;Val;Merged to develop published in 1.4.0
DEV-GV-400;Yaw angle;Implement rotation around subsatellite point;Val;published in 1.4.2
DEV-GV-500;Export pattern;implement export of pattern;Val;published
DEV-GV-600;Google Maps export;Add kml/kmz file export. Use of simplekml module ?;;
DEV-GV-700;Save configuration;use possibility to save current plot in an .ini file;"";""
REV-GV-100;Align displayed element behaviour;All displayed elements inherit from Element class. They should be plotted, cleared and configured using the same routines. Edit/Remove menu options should be available in the GUI.;In progress;Not that easy to align everything.
REV-GV-110;Stations management;finish work on the station import and management;Val;published in 1.5.0
REV-GV-200;Rectangular zoom;Implement inhibition of rectangular zoom trigger when taking focus over main windows.;Val;Published in 1.4.1
REV-GV-300;Customisable slope range;implement customisable slope range in pattern widget;Val;published in 1.4.0
REV-GV-400;Color surface crash;Correct error when plotting color map in Cylindrical projection;;see trace
REV-GV-500;Verify file at opening;Verify if extension of the file is consistent with content.;;
